index	model	trained_on	no	low	high	var
11	CNN	High noise	0.8396	0.8456	0.7802	0.8442
10	miniNN	High noise	0.6958	0.724	0.5476	0.6934
12	DNN	High noise	0.0144	0.0144	0.015	0.0146
14	ocNN	High noise	0.0122	0.008	0.0104	0.0118
13	comboNN	High noise	0.7466	0.7846	0.7308	0.781
8	comboNN	Low noise	0.941	0.9546	0.5768	0.9164
6	CNN	Low noise	0.9416	0.9448	0.4694	0.9072
9	ocNN	Low noise	0.9506	0.961	0.3952	0.9118
7	DNN	Low noise	0.3842	0.4172	0.1384	0.343
5	miniNN	Low noise	0.729	0.76	0.2628	0.6198
4	ocNN	No noise	0.9728	0.9518	0.1264	0.8198
0	miniNN	No noise	0.793	0.2246	0.057	0.2264
1	CNN	No noise	0.9558	0.664	0.0282	0.4134
3	comboNN	No noise	0.963	0.7256	0.0254	0.4304
2	DNN	No noise	0.9076	0.0896	0.0134	0.1614
17	DNN	Variable noise	0.6896	0.6808	0.396	0.6156
15	miniNN	Variable noise	0.8034	0.7778	0.4944	0.7132
16	CNN	Variable noise	0.9438	0.9424	0.8298	0.935
18	comboNN	Variable noise	0.9472	0.945	0.8308	0.9404
19	ocNN	Variable noise	0.963	0.9638	0.8852	0.955
