index	model	trained_on	no	low	high	var
0	miniNN	no	0.8177	0.2993	0.0239	0.2639
1	CNN	no	0.9451	0.8277	0.0866	0.6136
2	DNN	no	0.9238	0.2682	0.0141	0.2409
3	comboNN	no	0.9526	0.9417	0.35	0.8548
4	ocNN	no	0.9715	0.9312	0.0148	0.6008
5	miniNN	low	0.7312	0.7837	0.2705	0.6546
6	CNN	low	0.9291	0.9355	0.6777	0.9062
7	DNN	low	0.7876	0.8192	0.448	0.7434
8	comboNN	low	0.9386	0.945	0.7454	0.9314
9	ocNN	low	0.9574	0.9636	0.7662	0.9505
10	miniNN	high	0.6464	0.6637	0.5986	0.6676
11	CNN	high	0.9068	0.9119	0.8681	0.9037
12	DNN	high	0.0394	0.0348	0.0304	0.0342
13	comboNN	high	0.822	0.8251	0.7716	0.8144
14	ocNN	high	0.9166	0.9205	0.8874	0.9173
15	miniNN	var	0.7937	0.7716	0.5828	0.7393
16	CNN	var	0.9277	0.9356	0.8709	0.9267
17	DNN	var	0.8135	0.8106	0.657	0.7876
18	comboNN	var	0.9423	0.945	0.8616	0.9317
19	ocNN	var	0.9509	0.955	0.882	0.9513
