index	model	trained_on	no	low	high	var
11	CNN	High noise	0.8384	0.839	0.7938	0.8418
10	miniNN	High noise	0.65	0.681	0.5947	0.6649
12	DNN	High noise	0.4021	0.4422	0.3745	0.4395
14	ocNN	High noise	0.9268	0.9339	0.9043	0.9261
13	comboNN	High noise	0.232	0.2415	0.268	0.257
8	comboNN	Low noise	0.935	0.9334	0.6471	0.9097
6	CNN	Low noise	0.9343	0.9384	0.6878	0.9103
9	ocNN	Low noise	0.956	0.9557	0.72	0.9398
7	DNN	Low noise	0.7875	0.8071	0.466	0.7398
5	miniNN	Low noise	0.7328	0.7925	0.2729	0.6685
4	ocNN	No noise	0.9705	0.8402	0.0118	0.4476
0	miniNN	No noise	0.8241	0.2976	0.0221	0.2506
1	CNN	No noise	0.9452	0.9175	0.2188	0.7746
3	comboNN	No noise	0.9554	0.949	0.2938	0.8728
2	DNN	No noise	0.9333	0.3015	0.0282	0.2547
17	DNN	Variable noise	0.8255	0.8123	0.6426	0.7874
15	miniNN	Variable noise	0.7871	0.7767	0.6077	0.7442
16	CNN	Variable noise	0.9333	0.9384	0.8624	0.9333
18	comboNN	Variable noise	0.9394	0.9385	0.8587	0.9312
19	ocNN	Variable noise	0.9617	0.9633	0.9021	0.9557
