index	model	trained_on	no	low	high	var
11	CNN	High noise	0.739	0.7564	0.6626	0.7356
10	miniNN	High noise	0.6998	0.7262	0.5634	0.6888
12	DNN	High noise	0.0146	0.01	0.0098	0.0098
14	ocNN	High noise	0.0142	0.0144	0.015	0.0148
13	comboNN	High noise	0.5764	0.619	0.5648	0.6082
8	comboNN	Low noise	0.953	0.9506	0.6456	0.9284
6	CNN	Low noise	0.945	0.947	0.6026	0.9158
9	ocNN	Low noise	0.9556	0.9596	0.317	0.8876
7	DNN	Low noise	0.7096	0.6898	0.2582	0.578
5	miniNN	Low noise	0.7294	0.751	0.152	0.576
4	ocNN	No noise	0.973	0.9584	0.1144	0.8024
0	miniNN	No noise	0.7934	0.2076	0.0496	0.2058
1	CNN	No noise	0.9546	0.8864	0.0322	0.597
3	comboNN	No noise	0.9654	0.8484	0.0544	0.5846
2	DNN	No noise	0.8974	0.0618	0.0138	0.1468
17	DNN	Variable noise	0.7492	0.756	0.487	0.6928
15	miniNN	Variable noise	0.8034	0.7668	0.4802	0.7032
16	CNN	Variable noise	0.9436	0.9418	0.8416	0.9396
18	comboNN	Variable noise	0.9446	0.9456	0.794	0.9364
19	ocNN	Variable noise	0.9712	0.9642	0.8796	0.961
